Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time
47.14,2016-01-15 00:00:00,put,AAPL160115P00047140,0.18,0.05,0.19,0.0,0.00%,20,2447,49.12%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
47.86,2015-04-17 00:00:00,call,AAPL150417C00047860,69.39,80.65,81.05,0.0,0.00%,1,0,120.12%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
48.57,2015-04-17 00:00:00,call,AAPL150417C00048570,71.5,79.95,80.35,0.0,0.00%,2,0,119.34%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
48.57,2015-04-17 00:00:00,put,AAPL150417P00048570,0.03,0.0,0.02,0.0,0.00%,4,320,85.94%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
48.57,2016-01-15 00:00:00,call,AAPL160115C00048570,79.25,79.85,80.75,0.0,0.00%,2,446,57.23%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
48.57,2016-01-15 00:00:00,put,AAPL160115P00048570,0.2,0.05,0.21,0.0,0.00%,120,3891,48.44%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
49.29,2015-04-17 00:00:00,call,AAPL150417C00049290,78.95,79.2,79.65,0.0,0.00%,1,0,119.34%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
49.29,2015-04-17 00:00:00,put,AAPL150417P00049290,0.02,0.0,0.02,0.0,0.00%,10,107,84.38%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
50.0,2015-04-17 00:00:00,call,AAPL150417C00050000,82.4,78.5,78.95,0.0,0.00%,1,319,118.56%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
50.0,2015-04-17 00:00:00,put,AAPL150417P00050000,0.05,0.0,0.01,0.0,0.00%,8,562,78.13%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
50.0,2015-07-17 00:00:00,call,AAPL150717C00050000,70.4,78.4,79.25,0.0,0.00%,19,10,63.67%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
50.0,2015-07-17 00:00:00,put,AAPL150717P00050000,0.01,0.0,0.04,0.0,0.00%,25,756,53.91%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
50.0,2016-01-15 00:00:00,call,AAPL160115C00050000,78.5,78.4,79.15,0.0,0.00%,25,1532,52.44%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
50.0,2016-01-15 00:00:00,put,AAPL160115P00050000,0.15,0.1,0.2,0.0,0.00%,34,22421,46.78%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
50.0,2017-01-20 00:00:00,call,AAPL170120C00050000,79.9,76.85,80.05,0.0,0.00%,8,799,44.78%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
50.0,2017-01-20 00:00:00,put,AAPL170120P00050000,0.58,0.59,0.7,0.0,0.00%,11,1547,39.33%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
50.71,2015-04-17 00:00:00,put,AAPL150417P00050710,0.04,0.0,0.02,0.0,0.00%,5,424,82.81%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
51.43,2015-04-17 00:00:00,call,AAPL150417C00051430,68.15,77.05,77.5,0.0,0.00%,84,139,113.67%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
51.43,2015-04-17 00:00:00,put,AAPL150417P00051430,0.15,0.0,0.02,0.0,0.00%,0,121,81.25%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
51.43,2016-01-15 00:00:00,call,AAPL160115C00051430,77.0,77.0,77.75,0.0,0.00%,2,117,51.61%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
51.43,2016-01-15 00:00:00,put,AAPL160115P00051430,0.23,0.08,0.25,0.0,0.00%,20,6203,47.02%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
52.14,2015-04-17 00:00:00,call,AAPL150417C00052140,59.79,76.35,76.8,0.0,0.00%,1,1,112.89%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
52.86,2015-04-17 00:00:00,put,AAPL150417P00052860,0.15,0.0,0.02,0.0,0.00%,47,47,79.69%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
52.86,2016-01-15 00:00:00,call,AAPL160115C00052860,76.2,75.55,76.35,0.0,0.00%,2,131,50.76%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
52.86,2016-01-15 00:00:00,put,AAPL160115P00052860,0.26,0.1,0.27,0.0,0.00%,401,8466,46.24%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
53.57,2015-04-17 00:00:00,put,AAPL150417P00053570,0.02,0.0,0.02,0.0,0.00%,5,35,78.13%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
54.29,2015-04-17 00:00:00,call,AAPL150417C00054290,72.75,74.2,74.65,0.0,0.00%,21,93,108.20%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
54.29,2015-04-17 00:00:00,put,AAPL150417P00054290,0.03,0.0,0.02,0.0,0.00%,195,231,76.56%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
54.29,2016-01-15 00:00:00,call,AAPL160115C00054290,77.3,74.15,74.9,0.0,0.00%,7,812,49.00%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
54.29,2016-01-15 00:00:00,put,AAPL160115P00054290,0.2,0.12,0.28,0.0,0.00%,2,7581,45.22%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
55.0,2015-04-17 00:00:00,call,AAPL150417C00055000,71.4,73.5,74.05,0.0,0.00%,25,379,87.50%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
55.0,2015-04-17 00:00:00,put,AAPL150417P00055000,0.06,0.0,0.01,0.0,0.00%,54,342,71.88%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
55.0,2015-07-17 00:00:00,call,AAPL150717C00055000,78.48,73.4,74.25,0.0,0.00%,1,1,57.62%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
55.0,2015-07-17 00:00:00,put,AAPL150717P00055000,0.02,0.0,0.05,0.0,0.00%,5,704,53.52%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
55.0,2017-01-20 00:00:00,call,AAPL170120C00055000,76.1,71.9,75.0,0.0,0.00%,45,424,40.37%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
55.0,2017-01-20 00:00:00,put,AAPL170120P00055000,0.8,0.83,1.0,0.0,0.00%,27,1874,38.39%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
55.71,2015-04-17 00:00:00,call,AAPL150417C00055710,63.65,72.8,73.2,0.0,0.00%,17,17,102.93%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
55.71,2015-04-17 00:00:00,put,AAPL150417P00055710,0.06,0.0,0.02,0.0,0.00%,10,41,75.00%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
55.71,2016-01-15 00:00:00,call,AAPL160115C00055710,73.0,72.75,73.55,0.0,0.00%,25,132,48.88%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
55.71,2016-01-15 00:00:00,put,AAPL160115P00055710,0.28,0.14,0.3,0.0,0.00%,7,9367,44.48%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
56.43,2015-04-17 00:00:00,call,AAPL150417C00056430,53.3,72.05,72.5,0.0,0.00%,10,0,103.03%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
56.43,2015-04-17 00:00:00,put,AAPL150417P00056430,0.06,0.0,0.02,0.0,0.00%,11,102,73.44%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
57.14,2015-04-17 00:00:00,call,AAPL150417C00057140,32.64,71.35,71.8,0.0,0.00%,0,0,102.34%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
57.14,2015-04-17 00:00:00,put,AAPL150417P00057140,0.06,0.0,0.02,0.0,0.00%,10,10,71.88%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
57.14,2016-01-15 00:00:00,call,AAPL160115C00057140,72.0,71.35,72.0,0.0,0.00%,429,12622,45.44%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
57.14,2016-01-15 00:00:00,put,AAPL160115P00057140,0.23,0.17,0.33,0.0,0.00%,85,15347,43.90%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
58.57,2015-04-17 00:00:00,call,AAPL150417C00058570,67.65,69.95,70.35,0.0,0.00%,15,37,98.05%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
58.57,2015-04-17 00:00:00,put,AAPL150417P00058570,0.07,0.0,0.02,0.0,0.00%,1,143,70.31%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
58.57,2016-01-15 00:00:00,call,AAPL160115C00058570,74.2,69.85,70.7,0.0,0.00%,63,710,46.41%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
58.57,2016-01-15 00:00:00,put,AAPL160115P00058570,0.25,0.18,0.35,0.0,0.00%,1,5377,43.12%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
59.29,2015-04-17 00:00:00,call,AAPL150417C00059290,37.55,69.2,69.65,0.0,0.00%,126,0,98.05%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
59.29,2015-04-17 00:00:00,put,AAPL150417P00059290,0.19,0.0,0.02,0.0,0.00%,0,4,69.53%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
60.0,2015-04-17 00:00:00,call,AAPL150417C00060000,69.1,68.55,68.9,0.0,0.00%,14,731,93.75%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
60.0,2015-04-17 00:00:00,put,AAPL150417P00060000,0.03,0.0,0.01,0.0,0.00%,12,1350,64.06%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
60.0,2015-07-17 00:00:00,call,AAPL150717C00060000,69.1,68.4,69.3,0.0,0.00%,2,31,53.81%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
60.0,2015-07-17 00:00:00,put,AAPL150717P00060000,0.04,0.01,0.07,0.0,0.00%,5,1199,50.39%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
60.0,2015-10-16 00:00:00,call,AAPL151016C00060000,71.25,68.4,69.25,0.0,0.00%,1,577,52.83%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
60.0,2015-10-16 00:00:00,put,AAPL151016P00060000,0.18,0.07,0.15,0.0,0.00%,55,331,43.46%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
60.0,2016-01-15 00:00:00,call,AAPL160115C00060000,68.5,68.45,69.15,-2.05,-2.81%,46,1650,43.14%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
60.0,2016-01-15 00:00:00,put,AAPL160115P00060000,0.28,0.25,0.38,0.0,0.00%,10,9035,42.51%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
60.0,2017-01-20 00:00:00,call,AAPL170120C00060000,67.6,67.0,70.0,0.0,0.00%,31,1902,36.72%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
60.0,2017-01-20 00:00:00,put,AAPL170120P00060000,1.2,1.12,1.44,0.0,0.00%,70,4821,37.88%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
60.71,2015-04-17 00:00:00,call,AAPL150417C00060710,59.52,67.8,68.2,0.0,0.00%,78,0,93.16%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
60.71,2015-04-17 00:00:00,put,AAPL150417P00060710,0.04,0.0,0.01,0.0,0.00%,210,262,62.50%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
61.43,2015-04-17 00:00:00,put,AAPL150417P00061430,0.05,0.0,0.01,0.0,0.00%,210,475,62.50%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
61.43,2016-01-15 00:00:00,call,AAPL160115C00061430,71.65,67.0,67.85,0.0,0.00%,4,1371,44.04%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
61.43,2016-01-15 00:00:00,put,AAPL160115P00061430,0.32,0.24,0.4,0.0,0.00%,4,7330,41.70%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
62.14,2015-04-17 00:00:00,put,AAPL150417P00062140,0.02,0.0,0.01,0.0,0.00%,4,322,62.50%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
62.86,2015-04-17 00:00:00,call,AAPL150417C00062860,57.2,65.65,66.05,0.0,0.00%,4,0,89.26%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
62.86,2015-04-17 00:00:00,put,AAPL150417P00062860,0.02,0.0,0.01,0.0,0.00%,245,625,60.94%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
62.86,2016-01-15 00:00:00,call,AAPL160115C00062860,69.0,65.6,66.35,0.0,0.00%,6,1111,41.75%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
62.86,2016-01-15 00:00:00,put,AAPL160115P00062860,0.34,0.27,0.43,0.0,0.00%,10,12175,41.02%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
63.57,2015-04-17 00:00:00,call,AAPL150417C00063570,64.35,64.95,65.35,0.0,0.00%,15,15,88.67%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
63.57,2015-04-17 00:00:00,put,AAPL150417P00063570,0.02,0.0,0.01,0.0,0.00%,344,471,59.38%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
64.29,2015-04-17 00:00:00,call,AAPL150417C00064290,61.8,64.2,64.65,0.0,0.00%,2,13,88.67%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
64.29,2015-04-17 00:00:00,put,AAPL150417P00064290,0.01,0.0,0.01,0.0,0.00%,200,1089,59.38%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
64.29,2016-01-15 00:00:00,call,AAPL160115C00064290,68.75,64.25,65.1,0.0,0.00%,9,4642,43.09%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
64.29,2016-01-15 00:00:00,put,AAPL160115P00064290,0.4,0.34,0.47,0.0,0.00%,270,25787,40.53%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
65.0,2015-04-17 00:00:00,call,AAPL150417C00065000,63.6,63.5,63.95,0.0,0.00%,8,83,88.09%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
65.0,2015-04-17 00:00:00,put,AAPL150417P00065000,0.01,0.0,0.01,0.0,0.00%,6090,10344,57.81%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
65.0,2015-07-17 00:00:00,call,AAPL150717C00065000,66.15,63.4,64.2,11.05,+20.05%,1,48,60.16%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
65.0,2015-07-17 00:00:00,put,AAPL150717P00065000,0.05,0.05,0.1,0.0,0.00%,10,713,47.56%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
65.0,2015-10-16 00:00:00,call,AAPL151016C00065000,66.32,63.45,64.25,0.0,0.00%,1,3,47.88%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
65.0,2015-10-16 00:00:00,put,AAPL151016P00065000,0.23,0.13,0.24,0.0,0.00%,25,558,42.09%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
65.0,2017-01-20 00:00:00,call,AAPL170120C00065000,64.0,62.15,65.0,0.0,0.00%,56,845,33.36%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
65.0,2017-01-20 00:00:00,put,AAPL170120P00065000,1.56,1.4,1.75,0.03,+1.89%,62,3915,36.14%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
65.71,2015-04-17 00:00:00,call,AAPL150417C00065710,62.65,62.8,63.35,0.0,0.00%,109,111,72.07%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
65.71,2015-04-17 00:00:00,put,AAPL150417P00065710,0.01,0.0,0.03,0.0,0.00%,10,108,63.28%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
65.71,2016-01-15 00:00:00,call,AAPL160115C00065710,66.85,62.85,63.45,0.0,0.00%,20,785,38.67%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
65.71,2016-01-15 00:00:00,put,AAPL160115P00065710,0.39,0.35,0.5,0.0,0.00%,17,5463,39.84%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
66.43,2015-04-17 00:00:00,call,AAPL150417C00066430,62.0,62.1,62.5,0.0,0.00%,1,67,84.28%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
66.43,2015-04-17 00:00:00,put,AAPL150417P00066430,0.05,0.0,0.03,0.0,0.00%,6,144,61.72%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
67.14,2015-04-17 00:00:00,call,AAPL150417C00067140,61.5,61.35,61.8,0.0,0.00%,2,49,83.69%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
67.14,2015-04-17 00:00:00,put,AAPL150417P00067140,0.15,0.0,0.03,0.0,0.00%,5,178,60.94%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
67.14,2016-01-15 00:00:00,call,AAPL160115C00067140,65.88,61.45,62.3,0.0,0.00%,6,1861,41.33%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
67.14,2016-01-15 00:00:00,put,AAPL160115P00067140,0.41,0.38,0.54,0.0,0.00%,28,10752,39.26%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
67.86,2015-04-17 00:00:00,call,AAPL150417C00067860,59.85,60.65,61.1,0.0,0.00%,2,61,53.13%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
67.86,2015-04-17 00:00:00,put,AAPL150417P00067860,0.1,0.0,0.03,0.0,0.00%,23,232,60.16%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
68.57,2015-04-17 00:00:00,call,AAPL150417C00068570,32.91,59.95,60.35,0.0,0.00%,1,0,79.98%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
68.57,2015-04-17 00:00:00,put,AAPL150417P00068570,0.02,0.0,0.03,0.0,0.00%,10,169,59.38%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
68.57,2016-01-15 00:00:00,call,AAPL160115C00068570,62.75,60.05,60.65,0.0,0.00%,15,12475,37.38%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
68.57,2016-01-15 00:00:00,put,AAPL160115P00068570,0.43,0.45,0.58,0.0,0.00%,60,11857,38.67%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
69.29,2015-04-17 00:00:00,call,AAPL150417C00069290,59.7,59.25,59.65,0.0,0.00%,1,37,55.47%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
69.29,2015-04-17 00:00:00,put,AAPL150417P00069290,0.02,0.0,0.03,0.0,0.00%,25,266,58.59%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
70.0,2015-03-20 00:00:00,call,AAPL150320C00070000,57.77,58.55,59.0,0.0,0.00%,8,258,94.53%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
70.0,2015-03-20 00:00:00,put,AAPL150320P00070000,0.01,0.0,0.01,0.0,0.00%,3520,7587,76.56%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
70.0,2015-04-17 00:00:00,call,AAPL150417C00070000,62.75,58.5,58.95,0.0,0.00%,10,2017,79.39%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
70.0,2015-04-17 00:00:00,put,AAPL150417P00070000,0.01,0.0,0.02,0.0,0.00%,3,2420,55.47%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
70.0,2015-07-17 00:00:00,call,AAPL150717C00070000,60.96,58.45,59.3,0.0,0.00%,1,189,56.37%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
70.0,2015-07-17 00:00:00,put,AAPL150717P00070000,0.1,0.09,0.11,0.0,0.00%,20,2328,43.36%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
70.0,2015-10-16 00:00:00,call,AAPL151016C00070000,59.29,58.5,59.35,0.0,0.00%,10,33,44.78%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
70.0,2015-10-16 00:00:00,put,AAPL151016P00070000,0.25,0.2,0.27,0.0,0.00%,2,1248,38.67%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
70.0,2016-01-15 00:00:00,call,AAPL160115C00070000,59.0,58.6,59.2,-0.95,-1.53%,99,13952,36.01%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
70.0,2016-01-15 00:00:00,put,AAPL160115P00070000,0.52,0.47,0.63,0.0,0.00%,13,12582,38.16%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
70.0,2017-01-20 00:00:00,call,AAPL170120C00070000,60.0,59.1,60.0,0.0,0.00%,15,3191,30.26%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
70.0,2017-01-20 00:00:00,put,AAPL170120P00070000,2.1,1.7,2.61,0.0,0.00%,46,3368,36.63%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
70.71,2015-04-17 00:00:00,call,AAPL150417C00070710,57.8,57.8,58.2,0.0,0.00%,4,49,75.88%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
70.71,2015-04-17 00:00:00,put,AAPL150417P00070710,0.02,0.0,0.03,0.0,0.00%,125,603,56.25%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
71.43,2015-04-17 00:00:00,call,AAPL150417C00071430,48.45,57.1,57.5,0.0,0.00%,67,161,75.88%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
71.43,2015-04-17 00:00:00,put,AAPL150417P00071430,0.02,0.01,0.03,0.0,0.00%,30,639,57.03%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
71.43,2016-01-15 00:00:00,call,AAPL160115C00071430,57.45,57.5,57.7,-3.21,-5.21%,89,25152,33.96%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
71.43,2016-01-15 00:00:00,put,AAPL160115P00071430,0.53,0.52,0.68,0.0,0.00%,7,31635,37.63%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
72.14,2015-04-17 00:00:00,call,AAPL150417C00072140,48.03,56.4,56.8,0.0,0.00%,55,0,52.34%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
72.14,2015-04-17 00:00:00,put,AAPL150417P00072140,0.02,0.01,0.04,0.0,0.00%,20,535,57.81%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
72.86,2015-04-17 00:00:00,call,AAPL150417C00072860,48.05,55.65,56.15,0.0,0.00%,15,26,57.81%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
72.86,2015-04-17 00:00:00,put,AAPL150417P00072860,0.02,0.01,0.04,0.0,0.00%,50,3374,56.64%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
72.86,2016-01-15 00:00:00,call,AAPL160115C00072860,60.49,56.15,56.4,0.0,0.00%,50,2810,34.72%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
72.86,2016-01-15 00:00:00,put,AAPL160115P00072860,0.59,0.58,0.74,0.0,0.00%,5,12987,37.18%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
73.57,2015-04-17 00:00:00,call,AAPL150417C00073570,46.5,54.95,55.35,0.0,0.00%,200,0,71.88%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
73.57,2015-04-17 00:00:00,put,AAPL150417P00073570,0.02,0.02,0.04,0.0,0.00%,227,680,57.03%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
